Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37782066	2023-04-06	United Nations	Global,Global Diplomatic IGOs,International Government Organization		Make an appeal or request	020	3	Citizen (Unidentified State Actor)	General Population / Civilian / Social,Social		57129826	5	Xinhua News Agency	Tehran		Tehran Province	Iran	35.6944	51.4215
37782067	2023-04-06	Israel		Israel	Use conventional military force	190	-10	Syria		Syria	57129826	6	Xinhua News Agency	Damascus		Dimashq	Syria	33.5102	36.2913
37781827	2023-04-06	Israel		Israel	Use conventional military force	190	-10	Palestinian Territory, Occupied		Occupied Palestinian Territory	57129828	1	Xinhua News Agency	East Jerusalem		West Bank	Occupied Palestinian Territory	31.7834	35.2339
37781751	2023-04-06	Citizen (Ecuador)	General Population / Civilian / Social,Social	Ecuador	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Police (Ecuador)	Government,Police	Ecuador	57129830	3	El Universal	Guayaquil		Provincia del Guayas	Ecuador	-2.20584	-79.908
37781752	2023-04-06	Guillermo Lasso	Business,Social	Ecuador	Impose state of emergency or martial law	1724	-5	Ecuador		Ecuador	57129830	3	El Universal	Guayaquil		Provincia del Guayas	Ecuador	-2.20584	-79.908
37782063	2023-04-06	Constitutional Court (Slovakia)	Government,Judicial	Slovakia	Reject	120	-4	Cabinet / Council of Ministers / Advisors (Slovakia)	Cabinet,Executive,Government	Slovakia	57129845	3	TASR - Tlacova Agentura Slovenskej Republiky	Kosice		Kosicky kraj	Slovakia	48.714	21.2581
37782071	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make an appeal or request	020	3	Citizen (China)	General Population / Civilian / Social,Social	China	57129849	1	Straits Times	Beijing		Beijing Shi	China	39.9075	116.397
37781828	2023-04-06	Armed Gang (India)	Unidentified Forces	India	Criticize or denounce	111	-2	India		India	57129852	2	Straits Times	Pune	Satara Division	State of Maharashtra	India	18.5196	73.8553
37781829	2023-04-06	Hindu Extremist	Dissident,Separatists	India	Attempt to assassinate	185	-8	India		India	57129852	4	Straits Times	Pune	Satara Division	State of Maharashtra	India	18.5196	73.8553
37782131	2023-04-06	Protester (France)	Dissident,Protestors / Popular Opposition / Mobs	France	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		57129868	1	The Scotsman	Paris	Paris	Region Ile-de-France	France	48.8534	2.3488
37782132	2023-04-06	Protester (France)	Dissident,Protestors / Popular Opposition / Mobs	France	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		57129868	2	The Scotsman	Paris	Paris	Region Ile-de-France	France	48.8534	2.3488
37781685	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make an appeal or request	020	3	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	57129869	1	The Scotsman	Moscow		Moskva	Russian Federation	55.7522	37.6156
37781684	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make statement	010	0	Head of Government (Russia)	Executive,Executive Office,Government	Russian Federation	57129869	3	The Scotsman	Moscow		Moskva	Russian Federation	55.7522	37.6156
37781753	2023-04-06	Oversight Court (Russia)	Government,Judicial	Russian Federation	Arrest, detain, or charge with legal action	173	-5	Governor (Russia)	Government,Local,Provincial	Russian Federation	57129876	1	Unknown	Ulyanovsk	Ulyanovskiy Rayon	Ulyanovsk Oblast	Russian Federation	54.3282	48.3866
